playlist_title,playlist_ID,video_title,video_ids,video_published
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,요즘 너무 덥죠? 칵테일 한 잔 합시다 / 집에서 해먹은 술 모음 #5 / 7일 7술,n8qYgQKxv4E,2020-08-29T13:22:23Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,"혼자서 마시는 상황별 칵테일 / 비 오는 날, 휴일, 더운 밤, 잠 안 오는 새벽, 영화볼 때",DCW_eG0SKTU,2020-08-22T13:48:42Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,갬성을 자극하는 핑크색 칵테일 만들기..🌸,2Y1UIKmieRU,2020-08-18T13:05:31Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,더운 날 만들어 먹은 안주 모음 / 안주 만드는 영상 #3,flaCIDq3SwQ,2020-08-14T14:16:07Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,☔️비오는 날 전과 함께 전통주 / 이달의 술추천 #5,4F7OKLLh05k,2020-08-11T13:25:52Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,먹으면서 보낸 휴가 일상 (feat.고양이 자랑),PIL_c4b2_CU,2020-08-08T09:53:16Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,"🌱티 칵테일 만들기 / 홍차, 녹차, 히비스커스 티",pMZHfgP9ErY,2020-07-17T14:15:13Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,칵테일 키트 들고 피크닉가기🌼 / Shakit X RiniBini,9sMKQWJFcBI,2020-07-15T09:28:45Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,여름엔 달달술과 달달안주 / 이달의 술추천 #4,lm1dlq9b8sI,2020-07-13T14:48:35Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,맛있는 리큐르로 간단한 칵테일 만들기 / 리큐르추천#2,9Zw_ViTTU7Y,2020-07-08T04:48:35Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,바로 그 코코넛 칵테일🍍 / 코코넛밀크 칵테일 만들기,X3DfaISAycc,2020-07-04T13:36:23Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,"더운 여름, 시원한 모히토 한잔 하쉴~?🌱/ 네 가지 모히토 만들기",sms8F1djTXQ,2020-07-01T15:12:38Z
